"Figure 1. Heat Content in the Top 700 Meters of the World’s Oceans, 1955–2023",,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,
"Data source: CSIRO, 2024; IAP, 2024; MRI/JMA, 2024; NOAA, 2024",,,,
Web update: June 2024,,,,
Units: 10^22 joules,,,,
,,,,
Year,CSIRO,IAP,MRI/JMA,NOAA
1955,,-8.006966667,-9.498,-3.437233333
1956,,-7.973966667,-7.898,-2.844233333
1957,,-7.079966667,-8.948,-4.849233333
1958,,-4.247966667,-5.708,-1.769233333
1959,,-5.727966667,-7.348,-2.425233333
1960,-3.562769979,-4.511966667,-5.688,-1.678233333
1961,-2.300508787,-6.013966667,-4.048,-2.351233333
1962,-1.193847487,-2.345966667,-2.928,-1.311233333
1963,-1.098925887,-4.130966667,-3.698,-2.508233333
1964,-2.823549577,-6.476966667,-4.608,-3.357233333
1965,-2.706988197,-7.843966667,-5.028,-3.296233333
1966,-3.019585717,-5.011966667,-4.328,-4.180233333
1967,-3.854075807,-5.567966667,-5.838,-4.597233333
1968,-6.021766787,-7.124966667,-7.078,-5.964233333
1969,-7.361994887,-7.262966667,-6.468,-4.717233333
1970,-6.255551187,-6.580966667,-5.638,-5.534233333
1971,-6.296286587,-4.994966667,-4.178,-4.003233333
1972,-5.311236987,-4.568966667,-3.338,-5.475233333
1973,-5.817087087,-4.259966667,-3.328,-3.755233333
1974,-5.122174787,-3.161966667,-3.718,-3.011233333
1975,-5.823647187,-2.627966667,-2.318,-1.787233333
1976,-4.375756047,-2.123966667,-3.048,-2.839233333
1977,-4.442694577,-0.533966667,-3.158,-0.204233333
1978,-2.760254937,-2.019966667,-2.818,-0.184233333
1979,-1.596683987,-2.276966667,-2.198,-1.196233333
1980,0.214448013,0.359033333,-0.318,0.854766667
1981,1.123608713,-1.002966667,0.932,-0.114233333
1982,0.065019613,-1.840966667,-0.118,-2.542233333
1983,-1.230228487,-1.805966667,-1.788,-2.999233333
1984,-2.214251187,-1.004966667,-0.798,-0.695233333
1985,-1.495749987,0.238033333,0.232,-0.126233333
1986,-0.538298787,-0.352966667,-0.348,-1.273233333
1987,1.380659913,-1.323966667,-1.138,-1.129233333
1988,2.519020813,0.352033333,0.722,0.851766667
1989,3.445079913,0.363033333,0.532,0.666766667
1990,3.729044113,0.261033333,0.882,-0.059233333
1991,2.994687413,2.169033333,1.692,2.409766667
1992,3.038163113,0.453033333,2.752,0.335766667
1993,2.714736513,0.023033333,2.532,0.447766667
1994,2.746108913,1.734033333,2.722,1.273766667
1995,3.453916813,2.459033333,0.982,2.027766667
1996,4.424607713,4.250033333,2.972,4.307766667
1997,4.431968113,3.544033333,3.082,3.008766667
1998,3.474436913,4.997033333,3.212,4.067766667
1999,3.244615913,6.450033333,5.202,5.706766667
2000,4.024228113,6.248033333,4.162,5.435766667
2001,5.733341613,6.747033333,5.282,3.880766667
2002,6.525880413,9.085033333,7.732,6.552766667
2003,8.287112413,11.54703333,9.812,9.715766667
2004,9.364021413,10.67903333,9.032,10.00376667
2005,9.956724413,11.31303333,8.862,8.175766667
2006,9.814953413,12.40803333,9.622,10.19376667
2007,9.805226413,11.59003333,8.172,9.241766667
2008,10.63662241,12.83103333,9.592,9.815766667
2009,11.41634741,12.92303333,10.632,9.889766667
2010,12.46493241,12.50403333,10.522,10.13076667
2011,13.46856441,13.73403333,11.242,10.63276667
2012,14.56637341,14.44403333,11.022,10.70476667
2013,15.04593341,15.12403333,12.852,12.36476667
2014,15.69841841,15.69503333,13.082,13.02476667
2015,16.52420941,16.97603333,14.522,14.88576667
2016,17.55446741,16.48203333,13.522,13.73576667
2017,17.95354741,18.52603333,15.742,15.64176667
2018,18.71417941,18.88003333,16.642,16.48576667
2019,19.54184741,20.25203333,17.872,17.48976667
2020,21.10012441,20.77103333,18.072,17.28776667
2021,22.40608241,21.88303333,19.142,18.49876667
2022,23.75631741,23.38703333,20.432,19.45076667
2023,24.85446041,24.99103333,20.972,20.40076667
